Vendor_Name,Number_of_Days_Until_Payment
Aaron Hoffman,100
Aaron Murphy,100
Aaron Parks,100
Aaron Thomas,100
Abigail Hernandez,100
Abigail Matthews,100
Adam Evans,100
Adam Hudson,100
Adam Johnson,100
Adam Jones,100
Adam Nelson,100
Adam Stone,100
Adrian Williams,100
Alex Grimes,100
Alexa Huber,100
Alexander Payne,100
Alexandra Morris,100
Alexis Lewis,100
Alexis Parks,100
Alexis Wang,100
Alicia Jacobs,100
Alicia Orr,100
Alison Moss,100
Alison Salas,100
Allen Brown,100
Allison Melton,100
Allison Morrow,100
Allison Sheppard,100
Alyssa Rivera,100
Amanda Gardner,100
Amanda Gonzalez,100
Amanda Monroe,100
Amanda Mueller,100
Amanda Roberts,100
Amber Brown,100
Amber Mckinney,100
Amber Sanders,100
Amber Williams,100
Amy Atkins,100
Amy Best,100
Amy Gardner,100
Amy Johnson,100
Ana Proctor,100
Andre Ward,100
Andrea Flores,100
Andrea Hanson,100
Andrea Morgan,100
Andrew Boyd,100
Andrew Dunn,100
Andrew Holland,100
Andrew Little,100
Andrew Stewart,100
Andrew Wong,100
Angel Ferguson,100
Angel Harris,100
Angel Huynh,100
Angela Cameron,100
Angela Maldonado,100
Angela Moody,100
Angela Obrien,100
Angela Russell,100
Angela White,100
Ann Ball,100
Anna Hawkins,100
Anna Johnston,100
Anna Nichols,100
Anthony Chavez,100
Anthony Jordan,100
Anthony Lawson,100
Anthony Ross,100
Anthony Russell,100
Anthony Ryan,100
Antonio Alexander,100
Antonio Medina,100
Antonio Wilson,100
April Baker,100
Ariana Quinn,100
Ariel Bell,100
Arthur Cox,100
Ashlee Campbell,100
Ashley Bradford,100
Ashley Dawson,100
Ashley Garcia,100
Ashley Patrick,100
Ashley Ramirez,100
Ashley Rose,100
Ashley Smith,100
Austin Williams,100
Barbara Ballard,100
Barbara Carrillo MD,100
Barbara Johnson,100
Barry Miller,100
Becky Ramirez,100
Benjamin Bauer,100
Benjamin Jones,100
Benjamin Torres,100
Benjamin Warren,100
Bernard Johnson DVM,100
Bernard Smith,100
Billy Barnes,100
Billy Douglas,100
Bobby Taylor,100
Brad Walker,100
Bradley Atkinson,100
Bradley Campbell II,100
Bradley Lee,100
Bradley Silva,100
Brandi Smith,100
Brandi Stanley,100
Brandon Guerrero,100
Brandon Haynes,100
Brandon Keller,100
Brandon Ruiz,100
Brenda Barrera,100
Brenda Brown,100
Brenda Johnson,100
Brenda Price,100
Brent Cruz,100
Brent Fisher,100
Brent Wade,100
Brian Alvarado,100
Brian Baker,100
Brian Bauer,100
Brian Campbell,100
Brian Carroll,100
Brian Edwards,100
Brian Foster,100
Brian Grant,100
Brian Gutierrez,100
Brian Hamilton,100
Brian Lee,100
Brian Mullins,100
Brian Newman,100
Brian Rodriguez,100
Brian Snyder,100
Brian Summers,100
Briana Williams,100
Brianna Brown,100
Brittany Bowers,100
Brittany Brown,100
Brittany Duffy,100
Brittany Hernandez,100
Brittany James,100
Brittany Nguyen,100
Brittany Pierce,100
Brittany Torres,100
Brooke Kim,100
Bruce Clements,100
Bryan Smith,100
Bryce Spencer,100
Cameron Ball,100
Cameron Davis,100
Cameron Garcia,100
Cameron Nolan,100
Carl Clark,100
Carla West,100
Carlos Freeman,100
Carol Brady,100
Carol Holland,100
Carol Patel,100
Carol Wilson,100
Casey Garcia,100
Casey Underwood,100
Catherine Bowers,100
Catherine Garcia,100
Catherine Jackson,100
Cathy Arellano,100
Chad Smith,100
Charles Clark,100
Charles Lloyd,100
Charles Rollins,100
Charles Smith,100
Chase Page,100
Chelsea Benton,100
Chelsea Sims,100
Cheryl Burns MD,100
Cheyenne Barr,100
Chloe Sanford,100
Chris Boyer,100
Chris Curtis,100
Christian Ellis,100
Christian Frank,100
Christian Munoz,100
Christian Oliver,100
Christie Scott,100
Christina Baird,100
Christina Goodwin,100
Christina Harris,100
Christina Martinez,100
Christina Summers,100
Christina Wilson,100
Christine Ferguson,100
Christine Williams,100
Christopher Anderson,100
Christopher Chen,100
Christopher Delgado,100
Christopher Greer,100
Christopher Ray,100
Christopher Richards,100
Christopher Ross,100
Christopher Sanchez,100
Christopher Simmons,100
Christopher Smith,100
Christopher Taylor,100
Christopher Thomas,100
Christopher Torres,100
Christopher Webster,100
Christopher Williams,100
Christopher Young,100
Christy Freeman,100
Cindy Lewis,100
Claire Booth,100
Clarence Hall,100
Clinton Burton,100
Cody Dominguez,100
Cody Graham,100
Cody Miller,100
Cole Stewart,100
Colin Patrick,100
Colleen Sparks,100
Collin Barrera,100
Cory Morales,100
Cory Morris,100
Courtney Ayala,100
Courtney Fry,100
Courtney Hicks,100
Courtney Morton,100
Courtney Reynolds,100
Craig Gallagher,100
Crystal Davis,100
Curtis Mcmahon,100
Cynthia Davis,100
Cynthia Hunt,100
Cynthia Johnson,100
Cynthia Miller,100
Cynthia Murray,100
Cynthia Simmons,100
Dakota Pittman,100
Dalton Fletcher,100
Dan Young,100
Dana Luna,100
Dana Nolan,100
Daniel Allen,100
Daniel Carlson,100
Daniel Gallegos,100
Daniel Guerra,100
Daniel Hill,100
Daniel Long,100
Daniel Morris,100
Daniel Patton,100
Daniel Peterson,100
Daniel Rogers,100
Daniel Watson,100
Daniel Williams,100
Danielle Frost,100
Danielle Martinez,100
Danielle Moore,100
Danielle Rogers,100
Danny Sanders,100
Darrell Evans,100
Darrell Jones,100
David Buck,100
David Costa,100
David Davis,100
David Frank,100
David Johnson,100
David Jones,100
David Martin,100
David Patton,100
David Reed,100
David Rodriguez MD,100
David Schultz,100
David Smith,100
David Stanley,100
David Stark,100
David Taylor,100
David Thomas,100
David Wells,100
Dawn Carroll,100
Dawn Miller,100
Debbie Brandt,100
Debbie Wiley,100
Deborah Davis,100
Deborah Lewis,100
Debra Lin,100
Debra Reid,100
Debra Wright,100
Denise Brown,100
Denise Campos,100
Denise Yang,100
Derek Hogan,100
Derek Huber,100
Derrick Brown,100
Derrick Hunt,100
Derrick Olson,100
Desiree Holt,100
Desiree Miller,100
Desiree Roy,100
Diana Donaldson,100
Diana Parker,100
Diane Higgins,100
Diane Proctor,100
Donald Fernandez,100
Donald Gonzalez,100
Donald Williams,100
Donna Mendez,100
Donna Skinner,100
Donna Williams,100
Donna Willis,100
Douglas Ross,100
Dr. Charles Pierce,100
Dr. Edward Stone,100
Dr. Lee Potter,100
Dr. Natalie Kaufman,100
Dustin Brandt,100
Dustin Graham,100
Eddie Frazier,100
Edward Mayo,100
Edward Mendoza,100
Edward Salazar,100
Edwin Lee,100
Edwin Owens,100
Elizabeth Bishop,100
Elizabeth Carter,100
Elizabeth Figueroa,100
Elizabeth Miller,100
Elizabeth Perry,100
Elizabeth Roach,100
Elizabeth Smith,100
Elizabeth Spencer,100
Ellen Thompson,100
Emily Ross,100
Emily Smith,100
Eric Ewing,100
Eric Fitzgerald,100
Eric Hoffman,100
Eric Montgomery,100
Eric Phillips,100
Eric Strickland,100
Eric Wilson,100
Eric Yang,100
Erica Abbott,100
Erin Bond,100
Erin Jones,100
Faith Zimmerman,100
Frances Marquez,100
Frank Thomas,100
Gabriel Smith,100
Gabriella Riggs,100
Gabrielle Herrera,100
Garrett Bennett,100
Gary Lopez,100
Gavin Shelton,100
George Moss,100
Gerald Johnson,100
Gerald Sutton,100
Gina Adkins,100
Gina Middleton,100
Gloria Lewis,100
Gloria Perkins,100
Grace Walton,100
Greg Thompson,100
Gregory Harris,100
Gregory Hickman,100
Gregory Ryan,100
Gregory Tapia,100
Gregory Tate,100
Hailey Allen,100
Hailey Gonzales,100
Haley Miller,100
Haley Morales,100
Hannah Evans,100
Hannah Johnson,100
Hannah Jones,100
Hannah Taylor,100
Harry White,100
Heather Caldwell,100
Heather Evans,100
Heather Maddox,100
Heather Palmer,100
Heather Rose,100
Heather Santos,100
Heather Stone,100
Heather Stuart,100
Heather Sullivan,100
Hector Lang,100
Heidi Mcpherson,100
Holly Young,100
Hunter Hutchinson,100
Isaac Hill,100
Isaac Perez,100
Isaac Wheeler,100
Jacob Barnes,100
Jacob Flores,100
Jacob Gonzalez,100
Jacob Tucker,100
Jacob Williams,100
Jacqueline Russell,100
Jacqueline Wood,100
Jade Sparks,100
James Allen,100
James Brown,100
James Cook,100
James Garcia,100
James Harris,100
James Jacobson,100
James Jimenez DDS,100
James Johnson,100
James Jones,100
James King,100
James Lopez,100
James Miranda,100
James Mitchell,100
James Russell,100
James Walker,100
Jamie Carroll,100
Jane Glenn,100
Janet Edwards,100
Janet Riley,100
Janice Anderson,100
Janice Cole,100
Janice Wang,100
Jared Walker,100
Jasmine Willis,100
Jasmine Wood,100
Jason Banks Jr.,100
Jason Holt,100
Jason Mooney,100
Jason Sanchez,100
Jason Schultz,100
Javier Robertson,100
Jay Goodman,100
Jay Tyler,100
Jeanette Morales,100
Jeff Craig,100
Jeffrey Brooks Jr.,100
Jeffrey Gutierrez,100
Jeffrey Jones,100
Jennifer Blackwell,100
Jennifer Calderon,100
Jennifer Chapman,100
Jennifer Fisher,100
Jennifer Fitzgerald,100
Jennifer Franklin,100
Jennifer Gates,100
