Description,Vendor_Name,Created,Invoice_Date,Due_Date,Amount,Settled,Outstanding
Annual Fee,Aaron Hoffman,26-11-2015 12:38,30-Nov-15,30-Dec-15,11.98,11.98,0.0
,Aaron Murphy,27-10-2016 10:35,06-Sep-16,06-Oct-16,56.98,56.98,0.0
,Aaron Parks,29-02-2016 00:53,29-Feb-16,14-Mar-16,61.98,61.98,0.0
,Aaron Thomas,27-08-2013 18:46,23-Aug-13,06-Sep-13,674.3,674.3,0.0
,Abigail Hernandez,16-05-2017 16:48,10-May-17,09-Jun-17,302.94,302.94,0.0
,Abigail Matthews,23-06-2016 01:53,23-Jun-16,07-Jul-16,181.98,181.98,0.0
,Adam Evans,04-01-2017 13:53,04-Jan-17,18-Jan-17,2431.98,2431.98,0.0
,Adam Hudson,30-09-2015 12:07,30-Sep-15,30-Oct-15,88.74,23.8,64.94
,Adam Johnson,12-09-2013 09:41,12-Sep-13,26-Sep-13,55.98,55.98,0.0
,Adam Jones,25-08-2015 20:15,07-Aug-15,06-Sep-15,139.94,139.94,0.0
,Adam Nelson,31-05-2016 14:58,31-May-16,07-Jun-16,238.07,238.07,0.0
,Adam Stone,01-05-2015 14:20,26-Jan-15,25-Feb-15,3601.98,3601.98,0.0
,Adrian Williams,20-06-2017 13:51,18-Jun-17,18-Jul-17,332.18,297.38,34.8
Station parking,Alex Grimes,19-10-2017 23:15,19-Oct-17,18-Nov-17,2143.5,2143.5,0.0
,Alexa Huber,11-11-2013 21:15,11-Nov-13,11-Dec-13,1054.98,1054.98,0.0
,Alexander Payne,18-05-2013 20:12,02-May-13,09-May-13,1465.98,1465.98,0.0
,Alexandra Morris,31-10-2015 14:46,26-Oct-15,25-Nov-15,11350.18,11350.18,0.0
,Alexis Lewis,12-12-2016 22:37,12-Dec-16,11-Jan-17,3421.44,3421.44,0.0
Jun toner ,Alexis Parks,06-01-2016 11:35,31-Dec-15,30-Jan-16,1741.98,1221.98,520.0
,Alexis Wang,08-11-2016 10:03,08-Nov-16,08-Dec-16,217.98,217.98,0.0
,Alicia Jacobs,09-12-2014 21:31,12-Dec-14,11-Jan-15,4801.98,4801.98,0.0
,Alicia Orr,06-09-2017 09:51,13-Sep-17,13-Oct-17,3297.6,3297.6,0.0
,Alison Moss,05-07-2014 11:37,05-Jul-14,04-Aug-14,268.41,101.98,166.43
,Alison Salas,02-03-2014 20:37,02-Mar-14,16-Mar-14,46.98,46.98,0.0
,Allen Brown,19-11-2015 14:18,13-Nov-15,12-Jan-16,27.9,27.9,0.0
,Allison Melton,22-12-2014 09:41,19-Dec-14,18-Jan-15,49.13,49.12,0.01
,Allison Morrow,27-11-2014 12:07,27-Nov-14,11-Dec-14,403.98,403.98,0.0
Painting & Decorating work,Allison Sheppard,12-08-2013 21:29,12-Aug-13,19-Aug-13,130.21,130.21,0.0
,Alyssa Rivera,12-01-2015 15:53,09-Jan-15,23-Jan-15,77.21,77.21,0.0
,Amanda Gardner,01-07-2015 13:59,30-Jun-15,30-Jul-15,67.38,67.38,0.0
,Amanda Gonzalez,05-03-2015 09:53,16-Feb-15,23-Feb-15,450.98,450.98,0.0
DELIVERY,Amanda Monroe,03-11-2014 18:37,03-Nov-14,03-Dec-14,1427.27,1427.27,0.0
Franking ,Amanda Mueller,10-06-2014 09:46,10-Jun-14,10-Jul-14,6481.98,6481.98,0.0
,Amanda Roberts,20-05-2015 13:54,19-May-15,18-Jun-15,68.19,68.19,0.0
,Amber Brown,24-02-2014 13:55,24-Feb-14,03-Mar-14,26.98,26.98,0.0
,Amber Mckinney,23-10-2015 14:48,22-Oct-15,21-Nov-15,119.53,119.53,0.0
,Amber Sanders,12-09-2014 09:16,12-Sep-14,26-Sep-14,73.98,73.98,0.0
,Amber Williams,19-07-2017 07:24,19-Jul-17,18-Aug-17,219.48,219.48,0.0
,Amy Atkins,15-03-2017 10:55,15-Mar-17,30-Apr-17,7577.1,7577.1,0.0
Return to London,Amy Best,27-09-2017 11:51,31-Aug-17,30-Sep-17,533.4,532.98,0.42
,Amy Gardner,02-04-2017 22:11,31-Mar-17,21-Apr-17,227.07,227.07,0.0
,Amy Johnson,17-02-2016 13:46,15-Feb-16,29-Feb-16,367.98,367.98,0.0
,Ana Proctor,16-08-2017 17:40,16-Aug-17,15-Sep-17,7476.78,7476.78,0.0
,Andre Ward,25-08-2017 08:42,23-Aug-17,22-Sep-17,74.58,74.58,0.0
,Andrea Flores,13-12-2016 11:48,13-Dec-16,12-Jan-17,981.18,932.22,48.96
Bank Charges,Andrea Hanson,03-12-2013 17:42,27-Sep-13,27-Oct-13,34.38,34.38,0.0
,Andrea Morgan,13-10-2015 13:35,13-Oct-15,12-Nov-15,24721.98,24721.98,0.0
,Andrew Boyd,18-09-2015 13:01,17-Sep-15,17-Oct-15,79.0,79.0,0.0
,Andrew Dunn,07-07-2017 16:00,12-Jul-17,11-Aug-17,49.5,49.5,0.0
,Andrew Holland,04-05-2017 11:18,30-Apr-17,19-May-17,175.09,175.09,0.0
,Andrew Little,19-05-2015 13:34,31-May-15,30-Jun-15,81.36,81.36,0.0
,Andrew Stewart,02-10-2015 14:22,01-Oct-15,31-Oct-15,126.58,126.58,0.0
,Andrew Wong,28-07-2015 11:32,28-Jul-15,11-Aug-15,108.99,108.99,0.0
,Angel Ferguson,07-05-2014 10:28,07-May-14,06-Jun-14,138.78,138.78,0.0
,Angel Harris,14-03-2017 09:52,14-Mar-17,21-Mar-17,197.58,197.58,0.0
March charges,Angel Huynh,22-06-2016 13:52,20-Aug-16,19-Sep-16,401.98,401.98,0.0
,Angela Cameron,01-05-2017 12:10,01-May-17,31-May-17,16801.98,16801.98,0.0
,Angela Maldonado,23-09-2013 11:01,23-Sep-13,23-Oct-13,47.58,47.58,0.0
,Angela Moody,19-01-2016 14:47,19-Jan-16,18-Feb-16,1681.98,1681.98,0.0
,Angela Obrien,16-09-2015 12:00,15-Sep-15,15-Oct-15,173.22,173.22,0.0
,Angela Russell,06-03-2017 21:20,07-Mar-17,06-Apr-17,481.98,481.98,0.0
,Angela White,15-02-2017 15:40,18-Jan-17,17-Feb-17,83.98,83.98,0.0
Printing of A4 manual,Ann Ball,16-02-2015 11:13,31-Jan-15,02-Mar-15,652.96,652.96,0.0
,Anna Hawkins,12-08-2017 19:45,01-Aug-17,31-Aug-17,183.72,183.72,0.0
