Description,Vendor_Name,Created,Invoice_Date,Due_Date,Amount,Settled,Outstanding,Number_of_Days_until_Payment
Milk x 7 ltrs,David Taylor,26-04-2011 11:50,26-Apr-11,26-May-11,672.78,672.78,0.0,13
Office Stationery ,Stephen Wright MD,24-05-2011 09:40,24-May-11,23-Jun-11,5101.98,5101.98,0.0,38
Milk x 10 ltrs,Mark Cordova,24-05-2011 12:56,24-Mar-11,23-Apr-11,7422.78,7422.78,0.0,61
Annual Fee,Kimberly White,09-07-2011 10:42,10-May-11,24-May-11,11.98,11.98,0.0,62
,Teresa Marshall,05-09-2011 20:55,05-Sep-11,06-Sep-11,5501.98,5501.98,0.0,2
,Christian Ellis,12-10-2011 09:57,12-Oct-11,26-Oct-11,605.51,501.98,103.53,6
Office stationery,Courtney Smith,26-10-2011 12:24,26-Sep-11,27-Oct-11,2701.98,2701.98,0.0,35
Reverse misposting,Mario Peters,26-10-2011 15:47,26-Oct-11,25-Nov-11,3869.58,3869.58,0.0,26
Reverse mispost,Kelly Gray,31-10-2011 14:45,31-Oct-11,30-Nov-11,7801.98,7801.98,0.0,35
,Teresa Marshall,12-11-2011 15:21,12-Nov-11,26-Nov-11,1048.28,1048.28,0.0,7
Reverse mispost,Stephanie Lopez,15-11-2011 12:32,15-Nov-11,15-Dec-11,2551.98,1276.98,1275.0,6
,Jeremy Richardson,13-01-2012 14:01,13-Jan-12,12-Feb-12,124.38,124.38,0.0,40
,Robert Taylor,25-01-2012 15:04,16-Jan-12,30-Jan-12,138.96,138.96,0.0,15
Stationery ,Kristina Mcgrath,20-02-2012 14:44,24-Feb-12,02-Mar-12,930.01,930.01,0.0,31
,James Roberts,27-02-2012 17:06,13-Jan-12,27-Jan-12,121.98,121.98,0.0,45
,Rachel Campbell,27-02-2012 17:31,24-Jan-12,07-Feb-12,601.98,601.98,0.0,34
,Samantha Campbell,28-02-2012 20:32,18-Feb-12,19-Mar-12,502.34,502.34,0.0,55
,Jeremy Lambert,28-02-2012 21:02,18-Feb-12,19-Mar-12,129.9,129.9,0.0,116
,Jessica Wheeler,28-02-2012 21:22,18-Feb-12,19-Mar-12,444.78,444.78,0.0,33
Stationery ,Randall Walker,05-03-2012 13:15,17-Feb-12,18-Mar-12,3600.18,3600.18,0.0,38
,Eric Anderson,05-03-2012 19:45,05-Mar-12,19-Mar-12,169.98,169.98,0.0,10
,Justin Barrera,07-03-2012 13:21,07-Mar-12,06-Apr-12,306.3,306.3,0.0,39
,Jennifer Peters,08-03-2012 16:11,08-Mar-12,22-Mar-12,421.98,421.98,0.0,34
,Richard Moore,12-03-2012 12:06,12-Mar-12,19-Mar-12,169.98,169.98,0.0,31
,Melissa Huang,16-03-2012 10:06,16-Mar-12,15-Apr-12,1039.98,1039.98,0.0,76
,Douglas Schwartz,26-03-2012 09:05,26-Mar-12,09-Apr-12,161.98,41.98,120.0,8
Food for foyer,Christian Ellis,06-04-2012 02:26,21-Mar-12,28-Mar-12,16.98,16.98,0.0,29
,Debra Wright,08-04-2012 14:59,08-Apr-12,08-May-12,59.58,59.58,0.0,40
,George Walker,17-04-2012 13:39,17-Apr-12,01-May-12,421.98,421.98,0.0,22
,Robert Holmes,19-04-2012 16:54,19-Apr-12,19-May-12,51.92,51.92,0.0,48
,Christine Mason,22-04-2012 21:17,22-Apr-12,22-May-12,480.48,480.48,0.0,87
,Ashley George,30-04-2012 12:23,30-Apr-12,14-May-12,169.98,169.98,0.0,32
,Hailey Reid,04-05-2012 14:34,04-May-12,18-May-12,211.98,211.98,0.0,10
,Hector Lang,11-05-2012 09:38,27-Mar-12,26-Apr-12,257.34,257.34,0.0,64
,Hannah Taylor,16-05-2012 11:37,16-May-12,30-May-12,259.98,259.98,0.0,100
,Jerry Christensen,24-05-2012 12:02,24-May-12,07-Jun-12,211.98,211.98,0.0,27
,Brittany Bowers,28-05-2012 11:02,28-May-12,27-Jun-12,187.98,187.98,0.0,34
,Martha Daniels,29-05-2012 11:11,29-May-12,12-Jun-12,211.98,211.98,0.0,17
,Scott Miranda,31-05-2012 20:52,07-Jun-12,07-Jul-12,315.63,315.63,0.0,67
,Scott Johnson,08-06-2012 16:10,08-Jun-12,22-Jun-12,421.98,421.98,0.0,4
Return Train tickets to London,Michael Sanchez,19-06-2012 14:15,19-Jun-12,19-Jul-12,241.98,241.98,0.0,48
,Chad Lee,23-06-2012 10:56,23-Jun-12,07-Jul-12,201.98,201.98,0.0,35
,Samantha Campbell,27-06-2012 09:32,27-Jun-12,27-Jul-12,292.26,292.26,0.0,70
,Judy Nguyen,27-06-2012 18:47,27-Jun-12,11-Jul-12,169.98,169.98,0.0,36
,Nicole Graves,05-07-2012 17:26,05-Jul-12,19-Jul-12,121.98,121.98,0.0,46
Photography in car park ,Brittany Duffy,11-07-2012 21:10,11-Jul-12,10-Aug-12,1021.98,1021.98,0.0,33
Parts for maintenance of Company Car,Michael Sanchez,13-07-2012 10:26,13-Jul-12,12-Aug-12,241.98,241.98,0.0,38
,Brendan Wells,19-07-2012 15:36,19-Jul-12,23-Jul-12,121.98,121.98,0.0,12
,Daniel Moore,26-07-2012 13:23,26-Jul-12,25-Aug-12,223.38,223.38,0.0,109
,Timothy Roberts,03-08-2012 06:50,03-Aug-12,10-Aug-12,1681.98,1681.98,0.0,4
Parts for maintenance of Company Car,Krista Hall,07-08-2012 10:57,31-Jul-12,30-Aug-12,1081.98,1081.98,0.0,13
Parts for maintenance of Company Car,Steven Harris,07-08-2012 14:29,07-Aug-12,06-Sep-12,8551.98,8551.98,0.0,48
Parts for maintenance of Company Car,Krista Hall,13-08-2012 11:48,31-Aug-12,06-Sep-12,11881.98,11881.98,0.0,10
,Debra Wright,15-08-2012 21:53,15-Aug-12,14-Sep-12,68.58,68.58,0.0,58
PR Marketing Services,Michael Sanchez,20-08-2012 11:58,20-Aug-12,19-Sep-12,241.98,241.98,0.0,64
Parts for company vehicle - radio,Brittany Duffy,20-08-2012 12:06,20-Aug-12,15-Oct-12,2041.98,2041.98,0.0,52
,Kenneth Cross,29-08-2012 10:21,29-Aug-12,12-Sep-12,61.98,61.98,0.0,5
Cleaning products,Richard Brown,29-08-2012 16:23,03-Jun-12,10-Jun-12,17.29,17.29,0.0,87
Office Table,Sean Hodge,29-08-2012 16:38,22-Jun-12,29-Jun-12,251.98,251.98,0.0,68
Desk Drawers,Rachel Savage,29-08-2012 16:39,01-Jun-12,08-Jun-12,264.77,264.77,0.0,89
FREIGHT,Brandi Smith,29-08-2012 18:54,24-Jul-12,31-Jul-12,286.98,286.98,0.0,36
Food & Drink ,Dalton Fletcher,29-08-2012 18:58,01-Aug-12,08-Aug-12,88.52,88.52,0.0,28
Food & Drink,Bradley Silva,29-08-2012 19:16,03-Aug-12,10-Aug-12,35.8,35.8,0.0,38
,Timothy Roberts,31-08-2012 08:24,31-Aug-12,07-Sep-12,1681.98,1681.98,0.0,3
,Karen Navarro,31-08-2012 10:24,01-Aug-12,15-Aug-12,211.98,211.98,0.0,30
Breakfast,Brandi Smith,02-09-2012 20:48,02-Sep-12,09-Sep-12,47.37,47.37,0.0,19
Travel to customer,Dalton Fletcher,02-09-2012 21:07,02-Sep-12,09-Sep-12,89.57,89.57,0.0,28
Coffee Beans,Rachel Savage,02-09-2012 21:44,02-Sep-12,09-Sep-12,377.63,377.63,0.0,10
PR Marketing Services,Whitney Michael,03-09-2012 16:37,19-Sep-12,19-Oct-12,4501.98,4501.98,0.0,55
PR Marketing Services,Brittany Duffy,03-09-2012 16:47,24-Sep-12,24-Oct-12,1621.98,1621.98,0.0,50
,Carmen Keith,06-09-2012 09:25,06-Sep-12,20-Sep-12,61.98,61.98,0.0,22
,Heather Caldwell,11-09-2012 15:15,11-Sep-12,11-Oct-12,61.02,61.02,0.0,21
,Ralph Henderson,20-09-2012 11:31,20-Sep-12,04-Oct-12,211.98,211.98,0.0,64
Drinks,Dalton Fletcher,21-09-2012 22:27,21-Sep-12,28-Sep-12,401.98,401.98,0.0,4
Travel to customer,Allison Sheppard,22-09-2012 19:11,22-Sep-12,29-Sep-12,101.98,101.98,0.0,27
Parts for company vehicle - radio,Krista Hall,24-09-2012 11:28,24-Sep-12,24-Oct-12,10801.98,10801.98,0.0,17
parts for company vehicle - radio amp,Greg Thompson,24-09-2012 14:17,28-Sep-12,28-Oct-12,9601.98,9601.98,0.0,20
,Brent Ibarra,24-09-2012 22:15,24-Sep-12,10-Oct-12,1601.98,1594.98,7.0,45
,James Harris,28-09-2012 15:31,28-Sep-12,28-Oct-12,555.48,555.48,0.0,67
,Jay Fletcher,02-10-2012 09:09,28-Sep-12,05-Oct-12,166.97,166.97,0.0,4
,Alexa Huber,02-10-2012 22:34,02-Oct-12,01-Nov-12,6417.98,6417.98,0.0,15
,James Gonzalez,05-10-2012 09:11,04-Oct-12,11-Oct-12,81.98,81.98,0.0,12
,Edward Carpenter,07-10-2012 14:30,07-Oct-12,14-Oct-12,481.68,481.68,0.0,10
,James Harris,13-10-2012 15:19,13-Oct-12,12-Nov-12,370.98,370.98,0.0,52
Food and Drink ,Dalton Fletcher,14-10-2012 20:16,14-Oct-12,21-Oct-12,59.07,59.07,0.0,14
Fob ,Brandi Smith,14-10-2012 20:33,14-Oct-12,21-Oct-12,108.8,108.8,0.0,14
Keys,Eric Fitzgerald,20-10-2012 08:43,20-Oct-12,27-Oct-12,251.98,251.98,0.0,8
,Debra Wright,21-10-2012 16:58,21-Oct-12,20-Nov-12,47.58,47.58,0.0,60
,Roberto Barton,26-10-2012 10:52,26-Oct-12,06-Nov-12,211.98,211.98,0.0,42
,Alexander Jones,01-11-2012 15:54,01-Nov-12,15-Nov-12,55.98,55.98,0.0,6
Food,Brandi Smith,05-11-2012 09:25,25-Oct-12,01-Nov-12,286.98,286.98,0.0,11
Food and Drink,Brandi Smith,06-11-2012 10:23,06-Nov-12,13-Nov-12,132.82,132.82,0.0,15
,Sara Coffey,15-11-2012 15:29,15-Nov-12,29-Nov-12,163.98,163.98,0.0,48
,Phillip Roberts,17-11-2012 01:29,17-Nov-12,17-Jan-13,592.38,592.38,0.0,84
Refreshments,Eric Acevedo,20-11-2012 13:09,20-Nov-12,28-Nov-12,5317.98,5317.98,0.0,43
,Katherine Hart,21-11-2012 14:31,21-Nov-12,21-Dec-12,103.98,103.98,0.0,27
,Brittney Turner,22-11-2012 00:57,22-Nov-12,06-Dec-12,81.98,81.98,0.0,15
Photography of Stock new staff,Michael Sanchez,22-11-2012 12:45,22-Nov-12,22-Dec-12,241.98,241.98,0.0,53
,Eric Brown,27-11-2012 21:34,27-Nov-12,11-Dec-12,121.98,121.98,0.0,15
,Alexander Clark,30-11-2012 10:20,30-Nov-12,14-Dec-12,43.38,39.41,3.97,1
,Eric Nelson,06-12-2012 13:52,06-Dec-12,20-Dec-12,169.98,169.98,0.0,18
,Tristan Anderson,07-12-2012 11:51,07-Dec-12,21-Dec-12,169.98,169.98,0.0,5
,Phillip Roberts,16-12-2012 21:22,11-Dec-12,11-Feb-13,72.83,72.83,0.0,81
,Rodney Washington,19-12-2012 13:43,19-Dec-12,02-Jan-13,55.98,55.98,0.0,1
Storage,Brittany Duffy,02-01-2013 15:43,02-Jan-13,15-Mar-13,21136.34,21136.34,0.0,76
Bin liners,Allison Sheppard,02-01-2013 21:17,02-Jan-13,09-Jan-13,60.85,60.85,0.0,12
Window cleaning,Brandi Smith,02-01-2013 21:20,02-Jan-13,09-Jan-13,101.79,101.79,0.0,20
,William Herrera,03-01-2013 20:57,03-Jan-13,17-Jan-13,55.98,55.98,0.0,4
,Amy Young,07-01-2013 13:26,07-Jan-13,16-Jan-13,55.98,55.98,0.0,6
,Amy Rhodes DDS,07-01-2013 19:50,07-Jan-13,16-Jan-13,109.98,109.98,0.0,18
,David Johnson,08-01-2013 17:14,08-Jan-13,16-Jan-13,91.98,91.98,0.0,7
,Holly Turner,08-01-2013 17:20,08-Jan-13,16-Jan-13,169.98,169.98,0.0,17
,Nicole Williams,14-01-2013 17:48,14-Jan-13,16-Jan-13,91.98,91.98,0.0,2
Storage ,Brittany Duffy,15-01-2013 12:56,15-Jan-13,14-Feb-13,1873.98,1873.98,0.0,65
Photograph of new staff ,Joyce Silva,16-01-2013 10:52,16-Jan-13,15-Feb-13,6814.67,6814.67,0.0,34
Delivery,Eric Fitzgerald,21-01-2013 11:55,21-Jan-13,28-Jan-13,251.98,251.98,0.0,1
Storage ,Brittany Duffy,22-01-2013 10:21,22-Jan-13,21-Feb-13,419.58,419.58,0.0,58
,Stephen Herrera,29-01-2013 10:29,28-Jan-13,04-Feb-13,277.98,277.98,0.0,16
Food ,Edwin Owens,04-02-2013 11:56,01-Feb-13,08-Feb-13,25.85,25.85,0.0,22
FREIGHT,Dalton Fletcher,04-02-2013 14:14,04-Feb-13,11-Feb-13,65.46,65.46,0.0,3
,Sean Gibson,05-02-2013 14:52,05-Feb-13,05-Mar-13,219.69,219.69,0.0,35
,Summer Stewart,05-02-2013 19:34,05-Feb-13,19-Feb-13,151.98,151.98,0.0,31
Travel to customer- all week,Brittany Duffy,06-02-2013 13:01,19-Mar-13,18-Apr-13,18774.26,18774.26,0.0,63
,Stephanie Gardner,12-02-2013 19:41,12-Feb-13,26-Feb-13,121.98,121.98,0.0,50
Metro travel to customer site,Christina Summers,18-02-2013 16:38,18-Feb-13,20-Mar-13,241.98,241.98,0.0,38
